Bezeichnung_der_Einrichtung;Strasse;PLZ;Ort;E_Mail;Telefon;Bezeichnung_des_Traegers;Familienzentrum;Bezeichnung_des_Jugendamts;Strasse;PLZ;Ort
Ev. Tageseinrichtung für Kinder Blumenthalstraße 18;Blumenthalstraße18;40476;Düsseldorf;kita.blumenthalstrasse@diakonie-duesseldorf.de;0211 460465;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Düsselfüchse - Ludwig-Beck-Straße 11;Ludwig-Beck-Straße 11;40470;Düsseldorf;kita.duesselfuechse@drk-duesseldorf.de;0211/2299-3335;Deutsches Rotes Kreuz Kreisverband Düsseldorf e.V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Collenbachstraße 10;Collenbachstraße 10;40476;Düsseldorf;kita.collenbachstrasse@diakonie-duesseldorf.de;0211 69592853;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Kopernikusstraße 7 ;Kopernikusstraße 7;40223;Düsseldorf;kita.kopernikusstrasse7@diakonie-duesseldorf.de;0211 56662560;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Cordobastr. 2-Kath. Kindertagesstätte St. Adolfus;Cordobastraße 2;40477;Düsseldorf;wuelbeck@kath-derendorf-pempelfort.de;0211/946848-155;Kath. Kirchengem.  Hl. Dreifaltigkeit;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Daimlerstraße 12;Daimlerstraße 12;40235;Düsseldorf;kita.daimlerstrasse@diakonie-duesseldorf.de;0211 69541626;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Flemingweg 1 -Kath. Kindertagesstätte St. Maria in den Benden;Flemingweg 1;40591;Düsseldorf;smb.kita@meinegemein.de;0211/753693;Kath. Kirchengemeindeverband Düsseldorfer Rheinbogen;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Derendorfer Str. 58-Kindertagesstätte St. Rochus des SKFM Düsseldorf e.V.;Derendorfer Str. 58;40479;Düsseldorf;kita-st-rochus@skfm-duesseldorf.de;0211 / 444593;Sozialdienst kath. Frauen und Männer Düsseldorf e. V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Diezelweg ;Diezelweg 30 c;40472;Düsseldorf;kita.diezelweg@diakonie-duesseldorf.de;0211 4220471;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Grafenberger Allee 186;Grafenberger Allee 186;40237;Düsseldorf;kita.grafenbergerallee@diakonie-duesseldorf.de;0211 676274;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Sonnenhaus _ Dortmunder Straße 90;Dortmunder Straße 90;40472;Düsseldorf;kita.sonnenhaus@awo-duesseldorf.de;0211-60025453;Arbeiterwohlfahrt Familienglobus gGmbH Düsseldorf;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kath. Kindertagesstätte St. Cäcilia Wimpfener Str. 17;Wimpfener Str. 17;40597;Düsseldorf;kita.caecilia@flingern-mobil.de;0211 715506;Flingern mobil e.V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Eichenkreuzstraße;Eichenkreuzstraße 26;40589;Düsseldorf;kita.eichenkreuzstrasse@diakonie-duesseldorf.de;0211 791765;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Apostelplatz;Apostelplatz 2;40625;Düsseldorf;kita.apostelplatz@diakonie-duesseldorf.de;0211 292048;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Am Mönchgraben 47-Kath. Kindertagesstätte St. Cäcilia;Am Mönchgraben 47;40597;Düsseldorf;kita-moenchgraben@t-online.de;0211/713608;Kath. Kirchengemeindeverband Benrath/Urdenbach;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Kindertagesstätte Fliednerstraße ;Fliednerstraße 22 - 24;40489;Düsseldorf;walden@kaiserswerther-diakonie.de;0211 479 54 1747;Kaiserswerther Diakonie;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Florastr. 15 -Kath. Kindertagesstätte St. Peter;Florastraße 15;40217;Düsseldorf;kitaflora@t-online.de;0211/37 89 02;Kath. Kirchengemeinde St. Peter;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Florensstr. 28-Kath. Kindertagesstätte St. Blasius;Florensstraße 28;40221;Düsseldorf;kita-hamm@arcor.de;0211/305534;Kath. Kirchengemeinde St. Bonifatius;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Flügelstraße 21 ;Flügelstraße 21;40227;Düsseldorf;kita.fluegelstrasse@diakonie-duesseldorf.de;0211 784428;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte St. Hildegard _ Flurstraße 57;Flurstraße 57;40235;Düsseldorf;kita.hildegard@flingern-mobil.de;0211 674640;Flingern mobil e.V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Adalbertstr. 10 -Kindertagesstätte St. Antonius ;Adalbertstr. 10;40545;Düsseldorf;kita.antonius@santobene.de;0211/57 61 27;Kath. Kirchengemeinde St. Antonius und Benediktus;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Fruchtstr. 3-Kath. Kindertagesstätte St. Suitbertus;Fruchtstraße 3;40223;Düsseldorf;suitbertus-kita-bilk@t-online.de;0211/331567;Kath. Kirchengemeinde St. Bonifatius;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Fürstenwall 186a;Fürstenwall 186a;40215;Düsseldorf;kita.fuerstenwall@diakonie-duesseldorf.de;0211 379821;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Am Stufstock 6a-Kath. Kindertagesstätte St. Michael ;Am Stufstock 6a;40231;Düsseldorf;kita@michael.pfarrverband-eller-lierenfeld.de;0211/22 62 37;Kath. Kirchengemeindeverband Eller-Lierenfeld;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Vinzenzplatz 1a _ Kath. Kindertagesstätte St. Elisabeth;Vinzenzplatz 1a;40211;Düsseldorf;kita.elisabeth@flingern-mobil.de;0211 355931-320;Flingern mobil e.V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Gerricusstr. 14-Kath. Kindertagesstätte St. Margareta;Gerricusstraße 14;40625;Düsseldorf;kitastmargareta@t-online.de;0211-301415-33;Kath. Kirchengemeinde St. Margareta;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kath. Kindertagesstätte St. Gertrud;Alt Eller 31a;40229;Düsseldorf;kitagertrud@web.de;0211/213229;Kath. Kirchengemeindeverband Eller-Lierenfeld;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Martinstr. 30 -Kath. Kindertagesstätte St. Martin;Martinstraße 30;40223;Düsseldorf;kindergarten@st-martin-bilk.de;0211-393201;Kath. Kirchengemeindeverband Unter- und Oberbilk. Friedrichstadt und Eller-West;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
AWO Kindertagesstätte Anna-Siemsen _ Grafenberger Allee 210;Grafenberger Allee 210;40237;Düsseldorf;famz.kita.anna-siemsen@awo-niederrhein.de;0211/681255;Arbeiterwohlfahrt Bezirksverband Niederrhein e.V;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Graf-Recke-Straße 211;Graf-Recke-Straße 211;40237;Düsseldorf;kita.graf-recke-strasse@diakonie-duesseldorf.de;0211 69592864;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Kinderladen e. V. - Gurlittstraße 8;Gurlittstraße 8;40223;Düsseldorf;kita.bilk@web.de;0211 - 349683;Kinderladen e. V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte  Rathenower Straße;Rathenower Str. 15;40599;Düsseldorf;iris.schindler@duesseldorf.de;0211/74 046 30;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Pastor-Finke-Weg 5-Kath. Kindertagesstätte St.Reinold;Pastor-Finke-Weg 5;40627;Düsseldorf;Kindergarten@StReinold.de;0211/278270;Kath. Kirchengemeinde St. Margareta;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Kindertagesstätte Gottfried-Hötzel-Straße;Gottfried-Hötzel-Straße 4;40549;Düsseldorf;kita.gottfried-hoetzel-strasse@diakonie-duesseldorf.de;0211 501831;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Eulerstr. ;Eulerstr. 46;40477;Düsseldorf;nicole.wrensch@duesseldorf.de;0211 8998133;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Kindertagesstätte Hasselsstraße ;Hasselsstraße 69 ;40597;Düsseldorf;kita.hasselsstrasse@diakonie-duesseldorf.de;0211 745501;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Waldorfkindergarten Sonnenwiege;Heerdter Landstrasse 30;40549;Düsseldorf;info@sonnenwiege.org;0211-502259;Waldorfkindergarten Düsseldorf e. V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertageseinrichtung Fürstenwall;Fürstenwall 13;40219;Düsseldorf;iris.rummel@duesseldorf.de;0211 / 3982796;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Helmholtzstr. 42a -Kath. Kindertagesstätte St. Antonius;Helmholtzstraße 42 b;40215;Düsseldorf;kita.antonius@mitten-drin.net;0211/37 46 84;Kath. Kirchengemeindeverband Unter- und Oberbilk. Friedrichstadt und Eller-West;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Josef-Kleesattel-Str. 4 -Montessori-Kinderhaus St. Norbert;Josef-Kleesattel-Str. 4;40595;Düsseldorf;kita-norbert@st-matthaeus-duesseldorf.de;0211/703577;Kath. Kirchengemeinde St. Matthäus;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Henkelstr. 294-Kindertagesstätte St.Elisabeth des SKFM Düsseldorf e.V.;Henkelstraße 294;40599;Düsseldorf;kita-st-elisabeth@skfm-duesseldorf.de;0211 / 742672;Sozialdienst kath. Frauen und Männer Düsseldorf e. V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Förderzentrum für Kinder 51/290;Brinckmannstraße 6;40225;Düsseldorf;foerderungszentrum@duesseldorf.de;0211-8927363;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Hohenzollernstraße 24;Hohenzollernstrasse 24;40211;Düsseldorf;kita.hohenzollernstrasse@diakonie-duesseldorf.de;0211 359788;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Hochstraße ;Hochstraße 8;40593;Düsseldorf;kita.hochstrasse@diakonie-duesseldorf.de;0211 717664;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Höhenstr. 20-Kath. Kindertagesstätte St. Apollinaris;Höhenstraße 20;40227;Düsseldorf;st.apollinaris@gmx.de;0211/78 41 51;Kath. Kirchengemeindeverband Unter- und Oberbilk. Friedrichstadt und Eller-West;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
In der Hött 12-Kath. Kindertagesstätte Mater Dolorosa;In der Hött 12;40223;Düsseldorf;kitaflehe@arcor.de;0211/153615;Kath. Kirchengemeinde St. Bonifatius;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Kaiserswerther Straße;Kaiserswerther Str. 209;40474;Düsseldorf;kathrin.goettman@duesseldorf.de;0211 431059;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Oldenburger Str. 6-Familienzentrum St. Bruno des SKFM Düsseldorf e.V.;Oldenburger Str. 6;40468;Düsseldorf;kita-st-bruno@skfm-duesseldorf.de;0211 / 4220614;Sozialdienst kath. Frauen und Männer Düsseldorf e. V.;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte  Kanonierstraße;Kanonierstraße  30;40476;Düsseldorf;andrea.meetz@duesseldorf.de;0211 444575;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Am Eulenthal 5-Kath. Kindertagesstätte St.Katharina;Am Eulenthal 5;40627;Düsseldorf;sankt-katharina@gmx.de;0211-301415-33;Kath. Kirchengemeinde St. Margareta;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kevelaerer Str. 24b -Kath. Kindertagesstätte Thomas Morus Haus;Kevelaerer Str. 24 b;40549;Düsseldorf;kita.sakrament@santobene.de;0211/504434;Kath. Kirchengemeinde St. Antonius und Benediktus;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Südallee 13 -Montessori Kinderhaus ;Südallee 13;40593;Düsseldorf;montessori.kh.ddorf@online.de;0211/70 82 97;Kath. Kirchengemeindeverband Benrath/Urdenbach;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kindertagesstätte Wirbelwind - Ellerstraße 191;Ellerstraße 191;40227;Düsseldorf;kita.wirbelwind@drk-duesseldorf.de;0211/724776;Deutsches Rotes Kreuz Kreisverband Düsseldorf e.V.;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Krahnenburgstraße ;Krahnenburgstraße 19;40472;Düsseldorf;kita.krahnenburgstrasse@diakonie-duesseldorf.de;0211 4230155 ;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Tiefenbroicher Weg 4 -Kath. Kindertagesstätte St. Maria Königin;Tiefenbroicher Weg 4;40472;Düsseldorf;kita.maria-koenigin@t-online.de;211428970;Kath. Kirchengemeinde Heilige Familie;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Langerstraße 20a;Langerstraße 20 a;40233;Düsseldorf;kita.langerstrasse@diakonie-duesseldorf.de;0211 7353114;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Otto-Pankok-Str. 29 (Sinti-Einrichtung);Otto-Pankok-Str. 29;40231;Düsseldorf;christiane.rath@caritas-duesseldorf.de;0211 16022136;Caritasverband für die Stadt Düsseldorf e. V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Caritas Familienzentrum Leopoldstraße;Oststraße 10;40211;Düsseldorf;sr.marie-theres.hasenbeck@caritas-duesseldorf.de;0211/178693-0;Caritasverband für die Stadt Düsseldorf e. V.;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
"Löricker Str. 37a -Kath. Kindertagesstätte &quot;Maria. Hilfe der Christen&quot;";Löricker Str. 37a;40547;Düsseldorf;kita.maria@santobene.de;0211/53 67 11-0;Kath. Kirchengemeinde St. Antonius und Benediktus;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Pastor-Busch-Weg;Pastor-Busch-Weg 7;40547;Düsseldorf;diana.oley@duesseldorf.de;211574770;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Merwowingerstr. 172-Kath. Kindertagesstätte St. Ludger;Merowingerstr. 172;40225;Düsseldorf;kita_st._ludger@t-online.de;0211/34 39 29;Kath. Kirchengemeinde St. Bonifatius;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertageseinrichtung Katharinenstraße 28;Katharinenstraße 28;40627;Düsseldorf;Karolina.Wloch@duesseldorf.de;211274247;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
städt. Kindertageseinrichtung Hülsmeyerstraße 28;Hülsmeyerstraße 28;40629;Düsseldorf;petra.hesse@duesseldorf.de;0211/294761;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Städt. Kindertagesstätte Metzer Straße;Metzer Str. 11-13;40476;Düsseldorf;hannelore.staps@duesseldorf.de;0211 489823;Stadtverwaltung - Jugendamt -;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Mörsenbroicher Weg 8 -Kath. Familienzentrum / Kindertagesstätte St. Franziskus-Xaverius;Mörsenbroicher Weg 8;40470;Düsseldorf;kita.sfx@dem-leben-dienen.de;0211/61019330;Kath. Kirchengemeinde St. Franziskus-Xaverius;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Kindertagesstätte Vereinsstraße ;Vereinsstraße 10;40625;Düsseldorf;kita.vereinsstrasse@diakonie-duesseldorf.de;0211 292300;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Zentrum Kind e. V.;Itterstr. 178;40589;Düsseldorf;Vorstand@Zentrum-Kind.de;0211-757834;Zentrum Kind e. V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Niederrheinstraße ;Niederrheinstraße 128;40474;Düsseldorf;kita.niederrheinstrasse@diakonie-duesseldorf.de;0211 433341;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Oberrather Straße;Oberrather Straße 33;40472;Düsseldorf;kita.oberratherstrasse@diakonie-duesseldorf.de;0211 653752;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Paulistr. 4 -Kath. Kindertagesstätte St. Cäcilia;Paulistr. 4;40597;Düsseldorf;kita-paulistr@online.de;0211-716633;Kath. Kirchengemeindeverband Benrath/Urdenbach;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Gatherweg ;Gatherweg 111;40231;Düsseldorf;kita.gatherweg@diakonie-duesseldorf.de;0211 69592860;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Herner Str. 10-Rather Familienzentrum - Kath. Kindertagesstätte Zum Heiligen Kreuz;Herner Str. 10;40472;Düsseldorf;kita.zhk@dem-leben-dienen.de;0211/653854;Kath. Kirchengemeinde St. Franziskus-Xaverius;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
